Country,Year,Value,Indicator
Vanuatu,2013,57.71,Proportion of children moderately or severely stunted or wasted
Fiji,2014,102.5,Proportion of children moderately or severely stunted or wasted
Kiribati,2014,100.0,Proportion of children moderately or severely stunted or wasted
Marshall Islands,2014,100.57,Proportion of children moderately or severely stunted or wasted
Nauru,2014,104.4,Proportion of children moderately or severely stunted or wasted
Papua New Guinea,2014,99.58,Proportion of children moderately or severely stunted or wasted
Samoa,2014,82.76,Proportion of children moderately or severely stunted or wasted
Solomon Islands,2014,158.46,Proportion of children moderately or severely stunted or wasted
Tonga,2014,112.24,Proportion of children moderately or severely stunted or wasted
Tuvalu,2014,100.0,Proportion of children moderately or severely stunted or wasted
Vanuatu,2014,99.28,Proportion of children moderately or severely stunted or wasted
Fiji,2015,41.6,Proportion of children moderately or severely stunted or wasted
Kiribati,2015,81.12,Proportion of children moderately or severely stunted or wasted
Marshall Islands,2015,182.01,Proportion of children moderately or severely stunted or wasted
Nauru,2015,94.64,Proportion of children moderately or severely stunted or wasted
Papua New Guinea,2015,247.01,Proportion of children moderately or severely stunted or wasted
Samoa,2015,30.16,Proportion of children moderately or severely stunted or wasted
Solomon Islands,2015,101.4,Proportion of children moderately or severely stunted or wasted
Tonga,2015,25.48,Proportion of children moderately or severely stunted or wasted
Tuvalu,2015,51.48,Proportion of children moderately or severely stunted or wasted
Vanuatu,2015,145.09,Proportion of children moderately or severely stunted or wasted
Fiji,2016,96.25,Proportion of children moderately or severely stunted or wasted
Kiribati,2016,100.0,Proportion of children moderately or severely stunted or wasted
Marshall Islands,2016,99.43,Proportion of children moderately or severely stunted or wasted
Nauru,2016,96.15,Proportion of children moderately or severely stunted or wasted
Papua New Guinea,2016,100.21,Proportion of children moderately or severely stunted or wasted
Samoa,2016,101.72,Proportion of children moderately or severely stunted or wasted
Solomon Islands,2016,154.87,Proportion of children moderately or severely stunted or wasted
Tonga,2016,87.76,Proportion of children moderately or severely stunted or wasted
Tuvalu,2016,100.0,Proportion of children moderately or severely stunted or wasted
Vanuatu,2016,101.08,Proportion of children moderately or severely stunted or wasted
Fiji,2017,95.0,Proportion of children moderately or severely stunted or wasted
Kiribati,2017,100.0,Proportion of children moderately or severely stunted or wasted
Marshall Islands,2017,54.0,Proportion of children moderately or severely stunted or wasted
Nauru,2017,92.86,Proportion of children moderately or severely stunted or wasted
Papua New Guinea,2017,100.84,Proportion of children moderately or severely stunted or wasted
Samoa,2017,105.17,Proportion of children moderately or severely stunted or wasted
Solomon Islands,2017,153.85,Proportion of children moderately or severely stunted or wasted
Tonga,2017,77.55,Proportion of children moderately or severely stunted or wasted
Tuvalu,2017,100.0,Proportion of children moderately or severely stunted or wasted
Vanuatu,2017,101.79,Proportion of children moderately or severely stunted or wasted
Fiji,2018,93.75,Proportion of children moderately or severely stunted or wasted
Kiribati,2018,60.9,Proportion of children moderately or severely stunted or wasted
Marshall Islands,2018,95.71,Proportion of children moderately or severely stunted or wasted
Nauru,2018,89.56,Proportion of children moderately or severely stunted or wasted
Papua New Guinea,2018,101.26,Proportion of children moderately or severely stunted or wasted
Samoa,2018,110.34,Proportion of children moderately or severely stunted or wasted
Solomon Islands,2018,152.31,Proportion of children moderately or severely stunted or wasted
Tonga,2018,67.35,Proportion of children moderately or severely stunted or wasted
Tuvalu,2018,98.99,Proportion of children moderately or severely stunted or wasted
Vanuatu,2018,102.15,Proportion of children moderately or severely stunted or wasted
Fiji,2019,93.75,Proportion of children moderately or severely stunted or wasted
Kiribati,2019,98.08,Proportion of children moderately or severely stunted or wasted
Marshall Islands,2019,93.71,Proportion of children moderately or severely stunted or wasted
Nauru,2019,85.16,Proportion of children moderately or severely stunted or wasted
Papua New Guinea,2019,101.68,Proportion of children moderately or severely stunted or wasted
Samoa,2019,83.62,Proportion of children moderately or severely stunted or wasted
Solomon Islands,2019,151.28,Proportion of children moderately or severely stunted or wasted
Tonga,2019,41.84,Proportion of children moderately or severely stunted or wasted
Tuvalu,2019,98.99,Proportion of children moderately or severely stunted or wasted
Vanuatu,2019,102.51,Proportion of children moderately or severely stunted or wasted
Fiji,2020,93.75,Proportion of children moderately or severely stunted or wasted
Kiribati,2020,95.51,Proportion of children moderately or severely stunted or wasted
Marshall Islands,2020,92.0,Proportion of children moderately or severely stunted or wasted
Nauru,2020,82.42,Proportion of children moderately or severely stunted or wasted
Papua New Guinea,2020,101.89,Proportion of children moderately or severely stunted or wasted
Samoa,2020,117.24,Proportion of children moderately or severely stunted or wasted
Solomon Islands,2020,150.26,Proportion of children moderately or severely stunted or wasted
Tonga,2020,53.06,Proportion of children moderately or severely stunted or wasted
Tuvalu,2020,97.98,Proportion of children moderately or severely stunted or wasted
Vanuatu,2020,102.87,Proportion of children moderately or severely stunted or wasted
American Samoa,2015,,Proportion of severely food insecure
Cook Islands,2015,,Proportion of severely food insecure
Fiji,2015,,Proportion of severely food insecure
French Polynesia,2015,,Proportion of severely food insecure
Kiribati,2015,,Proportion of severely food insecure
Marshall Islands,2015,,Proportion of severely food insecure
Micronesia (Federated States of),2015,,Proportion of severely food insecure
Nauru,2015,,Proportion of severely food insecure
New Caledonia,2015,,Proportion of severely food insecure
Niue,2015,,Proportion of severely food insecure
Palau,2015,,Proportion of severely food insecure
Papua New Guinea,2015,,Proportion of severely food insecure
Samoa,2015,,Proportion of severely food insecure
Solomon Islands,2015,,Proportion of severely food insecure
Tokelau,2015,,Proportion of severely food insecure
Tonga,2015,,Proportion of severely food insecure
Tuvalu,2015,,Proportion of severely food insecure
Vanuatu,2015,,Proportion of severely food insecure
American Samoa,2016,,Proportion of severely food insecure
Cook Islands,2016,,Proportion of severely food insecure
Fiji,2016,,Proportion of severely food insecure
French Polynesia,2016,,Proportion of severely food insecure
Kiribati,2016,,Proportion of severely food insecure
Marshall Islands,2016,,Proportion of severely food insecure
Micronesia (Federated States of),2016,,Proportion of severely food insecure
Nauru,2016,,Proportion of severely food insecure
New Caledonia,2016,,Proportion of severely food insecure
Niue,2016,,Proportion of severely food insecure
Palau,2016,,Proportion of severely food insecure
Papua New Guinea,2016,,Proportion of severely food insecure
Samoa,2016,,Proportion of severely food insecure
Solomon Islands,2016,,Proportion of severely food insecure
Tokelau,2016,,Proportion of severely food insecure
Tonga,2016,,Proportion of severely food insecure
Tuvalu,2016,,Proportion of severely food insecure
Vanuatu,2016,,Proportion of severely food insecure
American Samoa,2017,,Proportion of severely food insecure
Cook Islands,2017,,Proportion of severely food insecure
Fiji,2017,,Proportion of severely food insecure
French Polynesia,2017,,Proportion of severely food insecure
Kiribati,2017,,Proportion of severely food insecure
Marshall Islands,2017,,Proportion of severely food insecure
Micronesia (Federated States of),2017,,Proportion of severely food insecure
Nauru,2017,,Proportion of severely food insecure
New Caledonia,2017,,Proportion of severely food insecure
Niue,2017,,Proportion of severely food insecure
Palau,2017,,Proportion of severely food insecure
Papua New Guinea,2017,,Proportion of severely food insecure
Samoa,2017,3.4,Proportion of severely food insecure
Solomon Islands,2017,,Proportion of severely food insecure
Tokelau,2017,,Proportion of severely food insecure
Tonga,2017,,Proportion of severely food insecure
Tuvalu,2017,,Proportion of severely food insecure
Vanuatu,2017,,Proportion of severely food insecure
American Samoa,2018,,Proportion of severely food insecure
Cook Islands,2018,,Proportion of severely food insecure
Fiji,2018,,Proportion of severely food insecure
French Polynesia,2018,,Proportion of severely food insecure
Kiribati,2018,8.0,Proportion of severely food insecure
Marshall Islands,2018,,Proportion of severely food insecure
Micronesia (Federated States of),2018,,Proportion of severely food insecure
Nauru,2018,,Proportion of severely food insecure
New Caledonia,2018,,Proportion of severely food insecure
Niue,2018,,Proportion of severely food insecure
Palau,2018,,Proportion of severely food insecure
Papua New Guinea,2018,,Proportion of severely food insecure
Samoa,2018,3.4,Proportion of severely food insecure
Solomon Islands,2018,,Proportion of severely food insecure
Tokelau,2018,,Proportion of severely food insecure
Tonga,2018,6.0,Proportion of severely food insecure
Tuvalu,2018,,Proportion of severely food insecure
Vanuatu,2018,2.4,Proportion of severely food insecure
American Samoa,2019,,Proportion of severely food insecure
Cook Islands,2019,,Proportion of severely food insecure
Fiji,2019,2.0,Proportion of severely food insecure
French Polynesia,2019,,Proportion of severely food insecure
Kiribati,2019,8.0,Proportion of severely food insecure
Marshall Islands,2019,,Proportion of severely food insecure
Micronesia (Federated States of),2019,,Proportion of severely food insecure
Nauru,2019,,Proportion of severely food insecure
New Caledonia,2019,,Proportion of severely food insecure
Niue,2019,,Proportion of severely food insecure
Palau,2019,,Proportion of severely food insecure
Papua New Guinea,2019,,Proportion of severely food insecure
Samoa,2019,3.4,Proportion of severely food insecure
Solomon Islands,2019,,Proportion of severely food insecure
Tokelau,2019,,Proportion of severely food insecure
Tonga,2019,6.0,Proportion of severely food insecure
Tuvalu,2019,,Proportion of severely food insecure
Vanuatu,2019,2.4,Proportion of severely food insecure
American Samoa,2020,,Proportion of severely food insecure
Cook Islands,2020,,Proportion of severely food insecure
Fiji,2020,4.2,Proportion of severely food insecure
French Polynesia,2020,,Proportion of severely food insecure
Kiribati,2020,8.0,Proportion of severely food insecure
Marshall Islands,2020,,Proportion of severely food insecure
Micronesia (Federated States of),2020,,Proportion of severely food insecure
Nauru,2020,,Proportion of severely food insecure
New Caledonia,2020,,Proportion of severely food insecure
Niue,2020,,Proportion of severely food insecure
Palau,2020,,Proportion of severely food insecure
Papua New Guinea,2020,,Proportion of severely food insecure
Samoa,2020,3.4,Proportion of severely food insecure
Solomon Islands,2020,,Proportion of severely food insecure
Tokelau,2020,,Proportion of severely food insecure
Tonga,2020,6.0,Proportion of severely food insecure
Tuvalu,2020,,Proportion of severely food insecure
Vanuatu,2020,2.4,Proportion of severely food insecure
Fiji,1975,,Remittances
French Polynesia,1975,,Remittances
Kiribati,1975,,Remittances
Marshall Islands,1975,,Remittances
Micronesia (Federated States of),1975,,Remittances
Nauru,1975,,Remittances
New Caledonia,1975,,Remittances
Palau,1975,,Remittances
Papua New Guinea,1975,,Remittances
Samoa,1975,,Remittances
Solomon Islands,1975,,Remittances
Tonga,1975,20.59,Remittances
Tuvalu,1975,,Remittances
Vanuatu,1975,,Remittances
Fiji,1976,,Remittances
French Polynesia,1976,,Remittances
Kiribati,1976,,Remittances
Marshall Islands,1976,,Remittances
Micronesia (Federated States of),1976,,Remittances
Nauru,1976,,Remittances
New Caledonia,1976,,Remittances
Palau,1976,,Remittances
Papua New Guinea,1976,0.92,Remittances
Samoa,1976,,Remittances
Solomon Islands,1976,,Remittances
Tonga,1976,17.89,Remittances
Tuvalu,1976,,Remittances
Vanuatu,1976,,Remittances
Fiji,1977,,Remittances
French Polynesia,1977,,Remittances
Kiribati,1977,,Remittances
Marshall Islands,1977,,Remittances
Micronesia (Federated States of),1977,,Remittances
Nauru,1977,,Remittances
New Caledonia,1977,,Remittances
Palau,1977,,Remittances
Papua New Guinea,1977,0.53,Remittances
Samoa,1977,,Remittances
Solomon Islands,1977,,Remittances
Tonga,1977,16.23,Remittances
Tuvalu,1977,,Remittances
Vanuatu,1977,,Remittances
Fiji,1978,,Remittances
French Polynesia,1978,,Remittances
Kiribati,1978,,Remittances
Marshall Islands,1978,,Remittances
Micronesia (Federated States of),1978,,Remittances
Nauru,1978,,Remittances
New Caledonia,1978,,Remittances
Palau,1978,,Remittances
Papua New Guinea,1978,0.47,Remittances
Samoa,1978,,Remittances
Solomon Islands,1978,,Remittances
Tonga,1978,14.57,Remittances
Tuvalu,1978,,Remittances
Vanuatu,1978,,Remittances
Fiji,1979,0.35,Remittances
French Polynesia,1979,,Remittances
Kiribati,1979,3.67,Remittances
Marshall Islands,1979,,Remittances
Micronesia (Federated States of),1979,,Remittances
Nauru,1979,,Remittances
New Caledonia,1979,,Remittances
Palau,1979,,Remittances
Papua New Guinea,1979,0.4,Remittances
Samoa,1979,,Remittances
Solomon Islands,1979,,Remittances
Tonga,1979,14.72,Remittances
Tuvalu,1979,,Remittances
Vanuatu,1979,,Remittances
Fiji,1980,0.41,Remittances
French Polynesia,1980,,Remittances
Kiribati,1980,4.12,Remittances
Marshall Islands,1980,,Remittances
Micronesia (Federated States of),1980,,Remittances
Nauru,1980,,Remittances
New Caledonia,1980,,Remittances
Palau,1980,,Remittances
Papua New Guinea,1980,0.21,Remittances
Samoa,1980,,Remittances
Solomon Islands,1980,,Remittances
Tonga,1980,13.31,Remittances
Tuvalu,1980,,Remittances
Vanuatu,1980,,Remittances
Fiji,1981,0.75,Remittances
French Polynesia,1981,,Remittances
Kiribati,1981,4.72,Remittances
Marshall Islands,1981,,Remittances
Micronesia (Federated States of),1981,,Remittances
Nauru,1981,,Remittances
New Caledonia,1981,,Remittances
Palau,1981,,Remittances
Papua New Guinea,1981,0.19,Remittances
Samoa,1981,,Remittances
Solomon Islands,1981,,Remittances
Tonga,1981,12.22,Remittances
Tuvalu,1981,,Remittances
Vanuatu,1981,,Remittances
Fiji,1982,0.68,Remittances
French Polynesia,1982,,Remittances
Kiribati,1982,6.25,Remittances
Marshall Islands,1982,,Remittances
Micronesia (Federated States of),1982,,Remittances
Nauru,1982,,Remittances
New Caledonia,1982,,Remittances
Palau,1982,,Remittances
Papua New Guinea,1982,0.26,Remittances
Samoa,1982,15.67,Remittances
Solomon Islands,1982,,Remittances
Tonga,1982,13.08,Remittances
Tuvalu,1982,,Remittances
Vanuatu,1982,8.17,Remittances
Fiji,1983,0.71,Remittances
French Polynesia,1983,,Remittances
Kiribati,1983,5.95,Remittances
Marshall Islands,1983,,Remittances
Micronesia (Federated States of),1983,,Remittances
Nauru,1983,,Remittances
New Caledonia,1983,,Remittances
Palau,1983,,Remittances
Papua New Guinea,1983,0.17,Remittances
Samoa,1983,17.88,Remittances
Solomon Islands,1983,,Remittances
Tonga,1983,27.07,Remittances
Tuvalu,1983,,Remittances
Vanuatu,1983,6.09,Remittances
Fiji,1984,0.9,Remittances
French Polynesia,1984,,Remittances
Kiribati,1984,5.32,Remittances
Marshall Islands,1984,,Remittances
Micronesia (Federated States of),1984,,Remittances
Nauru,1984,,Remittances
New Caledonia,1984,,Remittances
Palau,1984,,Remittances
Papua New Guinea,1984,0.21,Remittances
Samoa,1984,18.31,Remittances
Solomon Islands,1984,,Remittances
Tonga,1984,20.96,Remittances
Tuvalu,1984,,Remittances
Vanuatu,1984,5.86,Remittances
Fiji,1985,2.42,Remittances
French Polynesia,1985,,Remittances
Kiribati,1985,12.62,Remittances
Marshall Islands,1985,,Remittances
Micronesia (Federated States of),1985,,Remittances
Nauru,1985,,Remittances
New Caledonia,1985,,Remittances
Palau,1985,,Remittances
Papua New Guinea,1985,0.23,Remittances
Samoa,1985,25.11,Remittances
Solomon Islands,1985,,Remittances
Tonga,1985,36.42,Remittances
Tuvalu,1985,,Remittances
Vanuatu,1985,6.62,Remittances
Fiji,1986,2.31,Remittances
French Polynesia,1986,,Remittances
Kiribati,1986,12.82,Remittances
Marshall Islands,1986,,Remittances
Micronesia (Federated States of),1986,,Remittances
Nauru,1986,,Remittances
New Caledonia,1986,,Remittances
Palau,1986,,Remittances
Papua New Guinea,1986,0.26,Remittances
Samoa,1986,28.73,Remittances
Solomon Islands,1986,,Remittances
Tonga,1986,30.6,Remittances
Tuvalu,1986,,Remittances
Vanuatu,1986,6.34,Remittances
Fiji,1987,2.29,Remittances
French Polynesia,1987,,Remittances
Kiribati,1987,15.18,Remittances
Marshall Islands,1987,,Remittances
Micronesia (Federated States of),1987,,Remittances
Nauru,1987,,Remittances
New Caledonia,1987,,Remittances
Palau,1987,,Remittances
Papua New Guinea,1987,0.43,Remittances
Samoa,1987,33.12,Remittances
Solomon Islands,1987,,Remittances
Tonga,1987,27.41,Remittances
Tuvalu,1987,,Remittances
Vanuatu,1987,6.07,Remittances
Fiji,1988,2.04,Remittances
French Polynesia,1988,,Remittances
Kiribati,1988,9.44,Remittances
Marshall Islands,1988,,Remittances
Micronesia (Federated States of),1988,,Remittances
Nauru,1988,,Remittances
New Caledonia,1988,,Remittances
Palau,1988,,Remittances
Papua New Guinea,1988,0.27,Remittances
Samoa,1988,28.57,Remittances
Solomon Islands,1988,,Remittances
Tonga,1988,15.58,Remittances
Tuvalu,1988,,Remittances
Vanuatu,1988,5.06,Remittances
Fiji,1989,1.94,Remittances
French Polynesia,1989,,Remittances
Kiribati,1989,10.19,Remittances
Marshall Islands,1989,,Remittances
Micronesia (Federated States of),1989,,Remittances
Nauru,1989,,Remittances
New Caledonia,1989,,Remittances
Palau,1989,,Remittances
Papua New Guinea,1989,0.2,Remittances
Samoa,1989,33.36,Remittances
Solomon Islands,1989,,Remittances
Tonga,1989,13.98,Remittances
Tuvalu,1989,,Remittances
Vanuatu,1989,4.75,Remittances
Fiji,1990,1.64,Remittances
French Polynesia,1990,,Remittances
Kiribati,1990,12.92,Remittances
Marshall Islands,1990,,Remittances
Micronesia (Federated States of),1990,,Remittances
Nauru,1990,,Remittances
New Caledonia,1990,,Remittances
Palau,1990,,Remittances
Papua New Guinea,1990,0.17,Remittances
Samoa,1990,34.19,Remittances
Solomon Islands,1990,,Remittances
Tonga,1990,21.1,Remittances
Tuvalu,1990,,Remittances
Vanuatu,1990,4.86,Remittances
Fiji,1991,1.39,Remittances
French Polynesia,1991,,Remittances
Kiribati,1991,12.75,Remittances
Marshall Islands,1991,,Remittances
Micronesia (Federated States of),1991,,Remittances
Nauru,1991,,Remittances
New Caledonia,1991,,Remittances
Palau,1991,,Remittances
Papua New Guinea,1991,0.55,Remittances
Samoa,1991,27.87,Remittances
Solomon Islands,1991,,Remittances
Tonga,1991,14.19,Remittances
Tuvalu,1991,,Remittances
Vanuatu,1991,4.5,Remittances
Fiji,1992,1.48,Remittances
French Polynesia,1992,,Remittances
Kiribati,1992,12.62,Remittances
Marshall Islands,1992,,Remittances
Micronesia (Federated States of),1992,,Remittances
Nauru,1992,,Remittances
New Caledonia,1992,,Remittances
Palau,1992,,Remittances
Papua New Guinea,1992,0.47,Remittances
Samoa,1992,30.23,Remittances
Solomon Islands,1992,,Remittances
Tonga,1992,15.57,Remittances
Tuvalu,1992,,Remittances
Vanuatu,1992,6.74,Remittances
Fiji,1993,1.6,Remittances
French Polynesia,1993,,Remittances
Kiribati,1993,13.0,Remittances
Marshall Islands,1993,,Remittances
Micronesia (Federated States of),1993,,Remittances
Nauru,1993,,Remittances
New Caledonia,1993,,Remittances
Palau,1993,,Remittances
Papua New Guinea,1993,0.41,Remittances
Samoa,1993,24.04,Remittances
Solomon Islands,1993,,Remittances
Tonga,1993,15.14,Remittances
Tuvalu,1993,,Remittances
Vanuatu,1993,6.01,Remittances
Fiji,1994,1.62,Remittances
French Polynesia,1994,,Remittances
Kiribati,1994,12.58,Remittances
Marshall Islands,1994,,Remittances
Micronesia (Federated States of),1994,,Remittances
Nauru,1994,,Remittances
New Caledonia,1994,,Remittances
Palau,1994,,Remittances
Papua New Guinea,1994,0.36,Remittances
Samoa,1994,16.73,Remittances
Solomon Islands,1994,,Remittances
Tonga,1994,,Remittances
Tuvalu,1994,,Remittances
Vanuatu,1994,7.75,Remittances
Fiji,1995,1.66,Remittances
French Polynesia,1995,,Remittances
Kiribati,1995,,Remittances
Marshall Islands,1995,,Remittances
Micronesia (Federated States of),1995,,Remittances
Nauru,1995,,Remittances
New Caledonia,1995,,Remittances
Palau,1995,,Remittances
Papua New Guinea,1995,0.34,Remittances
Samoa,1995,18.02,Remittances
Solomon Islands,1995,,Remittances
Tonga,1995,,Remittances
Tuvalu,1995,,Remittances
Vanuatu,1995,2.46,Remittances
Fiji,1996,1.57,Remittances
French Polynesia,1996,,Remittances
Kiribati,1996,,Remittances
Marshall Islands,1996,,Remittances
Micronesia (Federated States of),1996,,Remittances
Nauru,1996,,Remittances
New Caledonia,1996,,Remittances
Palau,1996,,Remittances
Papua New Guinea,1996,0.29,Remittances
Samoa,1996,17.72,Remittances
Solomon Islands,1996,,Remittances
Tonga,1996,,Remittances
Tuvalu,1996,,Remittances
Vanuatu,1996,13.61,Remittances
Fiji,1997,1.66,Remittances
French Polynesia,1997,,Remittances
Kiribati,1997,,Remittances
Marshall Islands,1997,,Remittances
Micronesia (Federated States of),1997,,Remittances
Nauru,1997,,Remittances
New Caledonia,1997,,Remittances
Palau,1997,,Remittances
Papua New Guinea,1997,0.28,Remittances
Samoa,1997,16.32,Remittances
Solomon Islands,1997,,Remittances
Tonga,1997,,Remittances
Tuvalu,1997,,Remittances
Vanuatu,1997,5.69,Remittances
Fiji,1998,1.56,Remittances
French Polynesia,1998,,Remittances
Kiribati,1998,,Remittances
Marshall Islands,1998,,Remittances
Micronesia (Federated States of),1998,,Remittances
Nauru,1998,,Remittances
New Caledonia,1998,,Remittances
Palau,1998,,Remittances
Papua New Guinea,1998,0.26,Remittances
Samoa,1998,15.59,Remittances
Solomon Islands,1998,,Remittances
Tonga,1998,,Remittances
Tuvalu,1998,,Remittances
Vanuatu,1998,2.97,Remittances
Fiji,1999,1.2,Remittances
French Polynesia,1999,,Remittances
Kiribati,1999,,Remittances
Marshall Islands,1999,,Remittances
Micronesia (Federated States of),1999,,Remittances
Nauru,1999,,Remittances
New Caledonia,1999,,Remittances
Palau,1999,,Remittances
Papua New Guinea,1999,0.23,Remittances
Samoa,1999,17.26,Remittances
Solomon Islands,1999,0.48,Remittances
Tonga,1999,,Remittances
Tuvalu,1999,,Remittances
Vanuatu,1999,3.59,Remittances
Fiji,2000,2.58,Remittances
French Polynesia,2000,,Remittances
Kiribati,2000,,Remittances
Marshall Islands,2000,,Remittances
Micronesia (Federated States of),2000,,Remittances
Nauru,2000,,Remittances
New Caledonia,2000,,Remittances
Palau,2000,,Remittances
Papua New Guinea,2000,0.21,Remittances
Samoa,2000,16.73,Remittances
Solomon Islands,2000,1.03,Remittances
Tonga,2000,,Remittances
Tuvalu,2000,,Remittances
Vanuatu,2000,4.97,Remittances
Fiji,2001,4.7,Remittances
French Polynesia,2001,,Remittances
Kiribati,2001,,Remittances
Marshall Islands,2001,,Remittances
Micronesia (Federated States of),2001,,Remittances
Nauru,2001,,Remittances
New Caledonia,2001,,Remittances
Palau,2001,,Remittances
Papua New Guinea,2001,0.19,Remittances
Samoa,2001,16.48,Remittances
Solomon Islands,2001,1.11,Remittances
Tonga,2001,29.16,Remittances
Tuvalu,2001,32.21,Remittances
Vanuatu,2001,7.15,Remittances
Fiji,2002,5.42,Remittances
French Polynesia,2002,,Remittances
Kiribati,2002,,Remittances
Marshall Islands,2002,,Remittances
Micronesia (Federated States of),2002,,Remittances
Nauru,2002,,Remittances
New Caledonia,2002,8.9,Remittances
Palau,2002,,Remittances
Papua New Guinea,2002,0.19,Remittances
Samoa,2002,15.62,Remittances
Solomon Islands,2002,0.93,Remittances
Tonga,2002,34.03,Remittances
Tuvalu,2002,42.34,Remittances
Vanuatu,2002,1.56,Remittances
Fiji,2003,5.38,Remittances
French Polynesia,2003,,Remittances
Kiribati,2003,,Remittances
Marshall Islands,2003,,Remittances
Micronesia (Federated States of),2003,,Remittances
Nauru,2003,,Remittances
New Caledonia,2003,9.12,Remittances
Palau,2003,,Remittances
Papua New Guinea,2003,0.2,Remittances
Samoa,2003,13.28,Remittances
Solomon Islands,2003,1.1,Remittances
Tonga,2003,28.97,Remittances
Tuvalu,2003,27.85,Remittances
Vanuatu,2003,1.27,Remittances
Fiji,2004,6.38,Remittances
French Polynesia,2004,,Remittances
Kiribati,2004,,Remittances
Marshall Islands,2004,,Remittances
Micronesia (Federated States of),2004,,Remittances
Nauru,2004,,Remittances
New Caledonia,2004,8.36,Remittances
Palau,2004,,Remittances
Papua New Guinea,2004,0.24,Remittances
Samoa,2004,0.21,Remittances
Solomon Islands,2004,2.19,Remittances
Tonga,2004,28.37,Remittances
Tuvalu,2004,22.57,Remittances
Vanuatu,2004,1.35,Remittances
Fiji,2005,6.82,Remittances
French Polynesia,2005,,Remittances
Kiribati,2005,0.0,Remittances
Marshall Islands,2005,17.39,Remittances
Micronesia (Federated States of),2005,,Remittances
Nauru,2005,,Remittances
New Caledonia,2005,8.21,Remittances
Palau,2005,0.77,Remittances
Papua New Guinea,2005,0.14,Remittances
Samoa,2005,17.53,Remittances
Solomon Islands,2005,1.5,Remittances
Tonga,2005,26.34,Remittances
Tuvalu,2005,22.58,Remittances
Vanuatu,2005,1.29,Remittances
Fiji,2006,6.65,Remittances
French Polynesia,2006,,Remittances
Kiribati,2006,11.78,Remittances
Marshall Islands,2006,18.37,Remittances
Micronesia (Federated States of),2006,,Remittances
Nauru,2006,,Remittances
New Caledonia,2006,7.7,Remittances
Palau,2006,0.8,Remittances
Papua New Guinea,2006,0.05,Remittances
Samoa,2006,17.22,Remittances
Solomon Islands,2006,1.99,Remittances
Tonga,2006,26.69,Remittances
Tuvalu,2006,16.0,Remittances
Vanuatu,2006,1.14,Remittances
Fiji,2007,5.42,Remittances
French Polynesia,2007,,Remittances
Kiribati,2007,10.51,Remittances
Marshall Islands,2007,16.95,Remittances
Micronesia (Federated States of),2007,,Remittances
Nauru,2007,,Remittances
New Caledonia,2007,5.57,Remittances
Palau,2007,0.77,Remittances
Papua New Guinea,2007,0.08,Remittances
Samoa,2007,16.94,Remittances
Solomon Islands,2007,2.04,Remittances
Tonga,2007,27.4,Remittances
Tuvalu,2007,20.74,Remittances
Vanuatu,2007,1.07,Remittances
Fiji,2008,4.16,Remittances
French Polynesia,2008,,Remittances
Kiribati,2008,10.19,Remittances
Marshall Islands,2008,15.18,Remittances
Micronesia (Federated States of),2008,,Remittances
Nauru,2008,,Remittances
New Caledonia,2008,6.0,Remittances
Palau,2008,0.81,Remittances
Papua New Guinea,2008,0.06,Remittances
Samoa,2008,17.6,Remittances
Solomon Islands,2008,1.31,Remittances
Tonga,2008,30.04,Remittances
Tuvalu,2008,19.69,Remittances
Vanuatu,2008,1.51,Remittances
Fiji,2009,5.96,Remittances
French Polynesia,2009,,Remittances
Kiribati,2009,10.61,Remittances
Marshall Islands,2009,15.75,Remittances
Micronesia (Federated States of),2009,6.19,Remittances
Nauru,2009,,Remittances
New Caledonia,2009,5.85,Remittances
Palau,2009,0.85,Remittances
Papua New Guinea,2009,0.04,Remittances
Samoa,2009,20.44,Remittances
Solomon Islands,2009,1.7,Remittances
Tonga,2009,26.23,Remittances
Tuvalu,2009,17.81,Remittances
Vanuatu,2009,1.94,Remittances
Fiji,2010,5.59,Remittances
French Polynesia,2010,,Remittances
Kiribati,2010,10.02,Remittances
Marshall Islands,2010,13.85,Remittances
Micronesia (Federated States of),2010,6.08,Remittances
Nauru,2010,0.45,Remittances
New Caledonia,2010,5.25,Remittances
Palau,2010,0.91,Remittances
Papua New Guinea,2010,0.02,Remittances
Samoa,2010,20.89,Remittances
Solomon Islands,2010,1.69,Remittances
Tonga,2010,20.18,Remittances
Tuvalu,2010,12.32,Remittances
Vanuatu,2010,1.75,Remittances
Fiji,2011,4.25,Remittances
French Polynesia,2011,,Remittances
Kiribati,2011,9.37,Remittances
Marshall Islands,2011,12.86,Remittances
Micronesia (Federated States of),2011,6.24,Remittances
Nauru,2011,1.86,Remittances
New Caledonia,2011,5.74,Remittances
Palau,2011,1.0,Remittances
Papua New Guinea,2011,0.07,Remittances
Samoa,2011,21.65,Remittances
Solomon Islands,2011,1.61,Remittances
Tonga,2011,20.35,Remittances
Tuvalu,2011,11.84,Remittances
Vanuatu,2011,2.83,Remittances
Fiji,2012,4.8,Remittances
French Polynesia,2012,,Remittances
Kiribati,2012,9.27,Remittances
Marshall Islands,2012,12.88,Remittances
Micronesia (Federated States of),2012,6.36,Remittances
Nauru,2012,8.64,Remittances
New Caledonia,2012,7.4,Remittances
Palau,2012,1.11,Remittances
Papua New Guinea,2012,0.07,Remittances
Samoa,2012,23.37,Remittances
Solomon Islands,2012,1.74,Remittances
Tonga,2012,19.39,Remittances
Tuvalu,2012,10.18,Remittances
